umap_1,umap_2,cluster,batch,layer
13.615263,5.0798306,4,0,Layer_3
9.691676,3.5344863,2,0,Layer_1
2.952835,8.118918,6,0,WM
14.311905,5.226135,0,0,Layer_3
8.318651,6.2251897,3,0,Layer_5
7.751108,6.9382477,5,0,Layer_6
3.986221,6.6176805,5,0,WM
14.827163,4.3669996,4,0,Layer_3
14.092461,3.4207215,0,0,Layer_2
8.074337,9.888036,3,0,Layer_6
3.7694147,8.483511,6,0,WM
11.951743,7.161257,4,0,Layer_4
9.669027,8.916482,1,0,Layer_5
12.867066,4.602637,0,0,Layer_3
9.273104,7.6028433,3,0,Layer_5
12.57519,5.688185,4,0,Layer_3
8.384939,6.730877,3,0,Layer_6
12.695288,7.2685924,1,0,Layer_5
13.463976,2.8232276,0,0,Layer_2
7.2082796,8.284246,3,0,Layer_6
2.952597,7.7043905,6,0,WM
7.8985114,5.7866635,3,0,Layer_6
12.014356,2.399478,2,0,Layer_2
12.506976,3.3172882,0,0,Layer_3
13.247868,6.283178,4,0,Layer_3
3.005229,6.9042883,6,0,WM
7.571486,8.39386,3,0,Layer_6
9.337605,8.496016,3,0,Layer_6
8.813592,7.8854256,1,0,Layer_5
11.46595,4.8584504,4,0,Layer_3
12.378043,1.2438673,0,0,Layer_1
3.2729528,6.9406495,6,0,WM
12.075844,7.553063,4,0,Layer_3
10.434279,8.317941,1,0,Layer_5
11.6615925,7.1384926,4,0,Layer_4
12.990768,6.5958953,4,0,Layer_4
13.19692,6.115807,4,0,Layer_3
13.172391,3.1137,0,0,Layer_2
9.094837,7.571183,1,0,Layer_6
13.368675,6.0291686,4,0,Layer_3
10.205115,7.4269767,1,0,Layer_5
12.32958,6.6657043,4,0,Layer_3
6.057602,8.357698,5,0,Layer_6
14.507595,5.529973,4,0,Layer_3
13.508251,2.2821827,0,0,Layer_2
11.378717,4.35044,0,0,Layer_3
11.745517,5.5268955,4,0,Layer_3
4.2908216,7.2182813,5,0,Layer_6
8.484572,7.9607644,3,0,Layer_6
10.863501,2.4706826,2,0,Layer_1
7.7404695,7.696676,3,0,Layer_6
12.828064,6.793203,4,0,Layer_3
13.118857,7.502349,4,0,Layer_4
3.1697388,8.155852,6,0,WM
10.563928,5.7154293,4,0,Layer_1
12.747313,4.0089903,0,0,Layer_3
4.562757,7.8906083,5,0,WM
9.498022,8.816385,1,0,Layer_5
3.5848374,8.350453,6,0,WM
12.443034,8.397732,1,0,Layer_4
12.166454,6.2318754,4,0,Layer_4
13.052657,5.858329,4,0,Layer_3
6.752297,7.5519905,3,0,Layer_6
10.532652,2.2793994,2,0,Layer_1
3.5116754,8.707006,6,0,WM
12.138425,7.5655317,4,0,Layer_3
11.466782,7.9683857,1,0,Layer_5
13.404056,2.8699172,0,0,Layer_2
14.080712,7.186371,4,0,Layer_3
11.779893,1.3569944,2,0,Layer_2
2.420423,6.90186,6,0,WM
9.594418,4.2075596,2,0,Layer_1
6.0391035,7.177418,3,0,Layer_6
9.67424,9.2756,1,0,Layer_5
12.771088,3.8390703,0,0,Layer_3
3.0856447,7.2259517,6,0,WM
11.36695,4.4074907,0,0,Layer_2
11.77359,5.5050254,4,0,Layer_3
3.7052162,6.8673353,6,0,WM
4.8115473,7.753585,5,0,WM
12.640455,2.1759148,0,0,Layer_2
13.674431,6.4394054,4,0,Layer_4
12.772441,6.7136846,4,0,Layer_3
12.005622,8.637834,1,0,Layer_5
12.065601,6.8811574,4,0,Layer_4
12.71133,6.3086896,4,0,Layer_3
12.804735,2.5232563,0,0,Layer_2
10.904643,6.977554,1,0,Layer_4
8.474546,6.871849,3,0,Layer_6
13.423662,7.511142,4,0,Layer_3
3.3722637,7.4211826,6,0,WM
8.933576,6.5911555,3,0,Layer_6
13.253787,6.028882,4,0,Layer_3
11.101846,9.550263,1,0,Layer_5
14.650883,4.931565,0,0,Layer_3
7.649311,8.09202,3,0,Layer_6
12.819014,8.669791,1,0,Layer_5
14.315864,5.713411,4,0,Layer_3
12.492048,6.193817,4,0,Layer_4
2.8745112,8.313417,6,0,WM
4.116474,8.96376,6,0,WM
9.761154,3.699878,2,0,Layer_1
11.071436,7.3796177,1,0,Layer_5
13.611597,4.7846246,4,0,Layer_3
8.074571,7.8933578,3,0,Layer_6
14.537918,3.3159254,0,0,Layer_3
10.808738,2.3238442,2,0,Layer_1
6.4142737,8.542721,3,0,Layer_6
8.241869,9.6902485,3,0,Layer_6
13.429094,5.536525,4,0,Layer_3
13.722702,4.7857494,4,0,Layer_3
9.785529,4.9020815,2,0,Layer_1
11.266692,2.5226867,2,0,Layer_1
11.838979,8.179998,1,0,Layer_4
4.0554724,8.52495,6,0,WM
11.390893,8.058608,1,0,Layer_4
12.195454,8.165639,1,0,Layer_5
12.523554,4.0877357,0,0,Layer_3
12.275689,3.3552911,0,0,Layer_2
11.990992,4.4442058,0,0,Layer_3
9.973252,8.593297,1,0,Layer_5
11.658175,4.465604,0,0,Layer_2
11.940586,2.5679574,2,0,Layer_1
11.973522,3.4414294,0,0,Layer_2
3.1890802,8.171788,6,0,WM
7.8165455,7.8584614,3,0,Layer_6
9.932426,3.982409,2,0,Layer_1
12.094367,2.7856996,0,0,Layer_2
7.3329806,7.8950996,3,0,Layer_6
11.337328,6.4972086,3,0,Layer_4
8.267397,8.027192,3,0,Layer_6
8.262531,8.967996,3,0,Layer_6
10.111778,7.7748694,1,0,Layer_5
13.75591,2.9466438,0,0,Layer_3
3.9289126,8.479639,6,0,WM
11.536304,8.57264,1,0,Layer_4
9.605102,6.880099,1,0,Layer_5
8.422204,7.0845933,3,0,Layer_6
14.217504,3.8469715,0,0,Layer_3
2.504739,7.0246696,6,0,WM
10.73365,7.445042,1,0,Layer_5
13.773693,2.7027464,0,0,Layer_3
